election name,contribution name
Rex P Shipp               (REP),"Shipp, Rex"
Piper Manesse      (UUP),"Manesse, Piper"
Lowry Snow                 (REP),"Snow, V. Lowry"
Kenzie Carter         (DEM),"Carter, Mackenzie "
Walt Brooks             (REP),"Brooks, Walter"
Rebecca Sullivan (DEM),"Sullivan, Rebecca"
Sherry Phipps                            (CON),"Phipps, Sherry"
Joel Ferry                 (REP),"Ferry, Joel"
Amber Hardy                  (DEM),"Hardy, Amber"
Jason M. Allen                (DEM),"Allen, Jason"
Kelly B. Miles                  (REP),"Miles, Kelly B."
Mike Schultz                 (REP),"Schultz, Mike"
Shawn Ferriola                     (UUP),"Ferriola, Shawn"
Brian S. King                   (DEM),"King, Brian S"
Carol L. Hunter               (REP),"HUNTER, CAROL"
Kerry M Wayne                  (DEM),"Wayne, Kerry"
Matt Gwynn                   (REP),"Gwynn, Matthew "
Tanner Greenhalgh               (UUP),"GREENHALGH, TANNER"
Cheryl Butler              (DEM),"Butler, Cheryl"
Kera Birkeland                 (REP),"Birkeland, Kera"
Mike Kohler                 (REP),"Kohler, Mike"
Meaghan Miller           (DEM),"Miller, Meaghan (Catherine)"
Scott H. Chew                   (REP),"Chew, Scott"
J. Homer Morrill              (UUP),"Morrill, Jesse"
Russell Garn Hatch        (CON),
Steven J. Lund                  (REP),"Lund, Steven"
Kirk D Pearson               (CON),"Pearson, Kirk"
Merrill Nelson              (REP),"Nelson, Merrill"
Amiee O Finster             (DEM),"Finster, Amiee"
Christine F. Watkins                    (REP),"Watkins, Christine F"
Jessica O'Leary                 (DEM),"OLEARY, JESSICA"
Carl Albrecht                (REP),"Albrecht, Carl"
L.S. Brown                  (Write-in),
Brad Last                            (REP),"Last, Bradley G."
Phil Lyman                          (REP),"Lyman, Phillip"
